,video_title,video_link,video_views,video_duration,video_availability,channel_id
56,Visualizing quaternions (4d numbers) with stereographic projection,https://www.youtube.com/watch?v=d4EgbgTm0Bg,4470380,31:51,1,UCYO_jab_esuFRV4b17AJtAw
41,"The unexpectedly hard windmill question (2011 IMO, Q2)",https://www.youtube.com/watch?v=M64HUIJFTZM,4825655,16:03,1,UCYO_jab_esuFRV4b17AJtAw
40,Why do prime numbers make these spirals? | Dirichlet’s theorem and pi approximations,https://www.youtube.com/watch?v=EK32jo7i5LQ,5115093,22:21,1,UCYO_jab_esuFRV4b17AJtAw
34,Simulating an epidemic,https://www.youtube.com/watch?v=gxAaO2rsdIs,5136756,23:12,1,UCYO_jab_esuFRV4b17AJtAw
36,Exponential growth and epidemics,https://www.youtube.com/watch?v=Kas0tIxDvrg,5947477,8:57,1,UCYO_jab_esuFRV4b17AJtAw
17,"Oh, wait, actually the best Wordle opener is not “crane”…",https://www.youtube.com/watch?v=fRed0Xmc2Wg,5990949,10:53,1,UCYO_jab_esuFRV4b17AJtAw
50,Why do colliding blocks compute pi?,https://www.youtube.com/watch?v=jsYwFizhncE,6306606,15:16,1,UCYO_jab_esuFRV4b17AJtAw
52,But why is a sphere's surface area four times its shadow?,https://www.youtube.com/watch?v=GNcFjFmqEc8,7499480,15:51,1,UCYO_jab_esuFRV4b17AJtAw
18,Solving Wordle using information theory,https://www.youtube.com/watch?v=v68zYyaEmEA,10129638,30:38,1,UCYO_jab_esuFRV4b17AJtAw
51,The most unexpected answer to a counting puzzle,https://www.youtube.com/watch?v=HEfHFsfGXjs,12430927,5:13,1,UCYO_jab_esuFRV4b17AJtAw
44,But what is a Fourier series?  From heat flow to drawing with circles | DE4,https://www.youtube.com/watch?v=r6sGWTCMz2k,17518935,24:47,1,UCYO_jab_esuFRV4b17AJtAw
